status,issue,best
Satisfactory,validation-180,0
Satisfactory,validation-156,0
Satisfactory,validation-20,0
Satisfactory,validation-86,0
Unsatisfactory,validation-174,0
Unsatisfactory,validation-190,0
Unsatisfactory,validation-8,0
Unsatisfactory,validation-164,0
Unsatisfactory,validation-47,0
Unsatisfactory,validation-141,0
Unsatisfactory,validation-14,0
Unsatisfactory,validation-189,0
Unsatisfactory,validation-140,0
Unsatisfactory,validation-18,0
Unsatisfactory,validation-6,0
Unsatisfactory,findings-10,0
Unsatisfactory,validation-41,0
Unsatisfactory,validation-165,0
Unsatisfactory,validation-68,0
Unsatisfactory,validation-157,0
Unsatisfactory,validation-65,0
Unsatisfactory,validation-150,0
Unsatisfactory,validation-119,0
Unsatisfactory,findings-13,0
Unsatisfactory,findings-4,0
Unsatisfactory,validation-94,0
Unsatisfactory,validation-182,0
Unsatisfactory,validation-162,0
Unsatisfactory,findings-5,0
Unsatisfactory,validation-5,0
Unsatisfactory,validation-183,0
Unsatisfactory,validation-135,0
